frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
1,0.000000,1,1,1,1,0.854147,0.156832,4.983517,-0.099729,0.193623,4.685584,-0.258824,-0.507841,4.473129,-0.091983,0.123570,4.459072,-0.071047,0.350695,4.724546,-0.052649,0.305608,4.755406,-64.384010,77.077286,47.266373,-172.280975,0.0,1,1,1,1,-64.384010,77.077286,-0.953877,0.036791,-0.297934,0.035117,0.999323,0.010969,0.298136,-0.000000,-0.954524,1
2,0.068967,1,1,1,1,0.853220,0.155101,4.973976,-0.099315,0.191163,4.673893,-0.259354,-0.508612,4.459078,-0.090487,0.122569,4.445044,-0.070771,0.350417,4.721430,-0.052714,0.305131,4.752403,-64.384010,77.077286,47.739761,-172.280975,0.0,2,1,1,1,-64.481445,76.891327,-0.953671,0.036585,-0.298619,0.034914,0.999331,0.010932,0.298819,0.000000,-0.954310,1
3,0.103451,1,1,1,1,0.852912,0.154207,4.967969,-0.099202,0.189345,4.666975,-0.259857,-0.508989,4.450011,-0.089713,0.121602,4.436026,-0.070666,0.350166,4.719066,-0.052884,0.304279,4.750261,-64.384010,77.077286,48.043823,-172.280975,0.0,3,1,1,1,-64.567993,76.759407,-0.953549,0.036361,-0.299035,0.034695,0.999339,0.010880,0.299233,0.000000,-0.954180,1
4,0.172419,1,1,1,1,0.852524,0.152382,4.953277,-0.099613,0.184165,4.651553,-0.261827,-0.512161,4.431104,-0.088314,0.118047,4.417358,-0.070895,0.348786,4.710870,-0.054361,0.299535,4.743336,-64.614983,76.781914,48.765396,-172.280975,0.0,4,1,1,1,-64.912369,76.401596,-0.953333,0.035032,-0.299881,0.033418,0.999386,0.010512,0.300065,0.000000,-0.953919,1
5,0.206902,1,1,1,1,0.852160,0.151569,4.945145,-0.099989,0.181345,4.643087,-0.262615,-0.513978,4.420675,-0.087819,0.115874,4.407095,-0.071371,0.347875,4.706265,-0.055542,0.296776,4.739497,-64.614983,76.647690,49.077789,-172.280975,0.0,5,1,1,1,-65.094612,76.244499,-0.953245,0.034203,-0.300257,0.032623,0.999415,0.010276,0.300433,-0.000000,-0.953803,1
6,0.275870,1,1,1,1,0.849364,0.149403,4.920449,-0.101224,0.174173,4.615345,-0.263342,-0.522105,4.392715,-0.086910,0.107727,4.379758,-0.072800,0.342690,4.692840,-0.058490,0.286123,4.728170,-65.027161,76.351326,49.838989,-172.661514,0.0,6,1,1,1,-65.557877,75.969734,-0.952854,0.031461,-0.301794,0.029993,0.999505,0.009500,0.301944,-0.000000,-0.953326,1
7,0.310353,1,1,1,1,0.847462,0.148064,4.905378,-0.101628,0.170404,4.597631,-0.262677,-0.525763,4.374023,-0.086192,0.103873,4.361380,-0.073255,0.339732,4.685275,-0.059569,0.281086,4.721511,-65.205261,76.351326,50.250885,-172.868729,0.0,7,1,1,1,-65.740257,75.888031,-0.952569,0.030024,-0.302838,0.028613,0.999549,0.009097,0.302974,0.000000,-0.952999,1
8,0.379321,1,1,1,1,0.842987,0.143375,4.867642,-0.102070,0.159588,4.552535,-0.260216,-0.539049,4.330866,-0.083851,0.093512,4.319057,-0.073575,0.329781,4.664094,-0.061036,0.267547,4.701830,-65.610611,76.093903,51.367737,-173.407990,0.0,8,1,1,1,-66.132530,75.762444,-0.951429,0.026015,-0.306766,0.024759,0.999662,0.007983,0.306870,0.000000,-0.951751,1
9,0.413805,1,1,1,1,0.840903,0.141329,4.849074,-0.101884,0.155118,4.529689,-0.258355,-0.543021,4.306715,-0.081911,0.088947,4.295318,-0.073029,0.324902,4.652760,-0.061046,0.261577,4.691025,-65.785576,76.093903,51.927032,-173.673599,0.0,9,1,1,1,-66.311127,75.643120,-0.950757,0.024089,-0.309000,0.022909,0.999710,0.007446,0.309090,-0.000000,-0.951033,1
10,0.482772,1,1,1,1,0.838408,0.137829,4.815983,-0.100081,0.146684,4.487737,-0.254161,-0.549000,4.259916,-0.073108,0.080904,4.249259,-0.062647,0.314476,4.623842,-0.051230,0.250387,4.662665,-66.186966,75.606201,53.182251,-174.203186,0.0,10,1,1,1,-66.703796,74.978233,-0.948825,0.019662,-0.315188,0.018659,0.999807,0.006198,0.315249,0.000000,-0.949009,1
